instance_id,canonical_smiles
CHEMBL611924,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CSSC[C@@H](NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)NCC(=O)N[C@@H](Cc4ccccc4)C(=O)N2)C(=O)N[C@@H](Cc5c[nH]c6ccccc56)C(=O)NCc7cc(cc(c7)C(F)(F)F)C(F)(F)F
CHEMBL575566,Cl.Nc1ncc(nc1Oc2ccc3cc[nH]c3c2)c4ccc(cc4)C(=O)NCC5CCNCC5
CHEMBL254064,CNC(=O)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc23)[C@](C)(O)[C@@H]1O
CHEMBL3929759,COCCN(C)c1nc2CCN(CCc2c(Nc3ccc(cc3)C(F)(F)F)n1)c4ncccc4C(F)(F)F
CHEMBL1557167,CNCCC=C1c2ccccc2C=Cc3ccccc13
CHEMBL1550165,COc1ccc(Cl)cc1NC(=O)CSc2ncnc3c2oc4ccccc34
CHEMBL4072863,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NCc4cccc(c4)c5cccs5)c3)cc2C(F)(F)F)CC1
CHEMBL1501825,Cc1csc2nc(CNC(=O)c3occc3)cn12
CHEMBL1329514,CCCC(O)(CCN1CCCCC1)c2ccc(OCC)cc2
CHEMBL177070,Cc1noc(NS(=O)(=O)c2sccc2CCc3ccc4OCOc4c3)c1Br
CHEMBL1512788,Nc1c(sc2nc(ccc12)c3ccc(F)cc3)C(=O)NCc4ccc(Cl)cc4
CHEMBL3667100,CC(O)CN(C)c1ncc(F)c(n1)N2CC[C@H](C2)Oc3ccc(cc3)[C@H](C)NC(=O)C
CHEMBL163866,CCCCCOc1ccc(C[C@H](NC(=O)[C@@H]2CCC(=O)N2Cc3ccccc3)C(=O)O)cc1
CHEMBL92164,[Cl-].Brc1cccc(c1)C2(CC3c4ccccc4C2c5cccc[n+]35)c6cccc(Br)c6
CHEMBL3603933,CN1CCC[C@H]1COc2cncc(O)c2
CHEMBL3325734,Cl.CS(=O)(=O)N[C@@H](c1ccc(CNC[C@H]2COc3cccnc3O2)cc1)C(F)(F)F
CHEMBL1505446,CSc1ccc(cc1)C(=S)N2CCCCCC2
CHEMBL2407599,Oc1c(CN2CCOCC2)cc(Cl)c3cccnc13
CHEMBL3601532,NS(=O)(=O)Oc1ccc(NC(=O)N2CCN(CC2)c3ccc(F)cc3)cc1
CHEMBL3674907,CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4C(=O)N(C)C
CHEMBL3673615,Cn1c(NC(=O)c2ccc3cc4C(=O)NCC(C)(C)Cn4c3n2)nc5ccccc15
CHEMBL3702369,COc1cccc2C3=CC(=NCC(=O)N3CCc12)c4cccc(c4)C(F)(F)F
CHEMBL3674668,Cc1ccc(Nc2cnc(c(C)c2)c3cccc(c3)C(=O)N4CCCC4)c(c1)C(=O)O
CHEMBL538948,CC(C)NCc1ccc(C[C@@H]2NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc6ccc(O)c([125I])c6)NC2=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N)NC(=O)[C@H](N)Cc7ccccc7)cc1
CHEMBL4104751,CN(C)C(=O)N1CCc2c(C1)c(nn2C3CCOCC3)N4CCCc5cc(c6cnn(C)c6)c(cc45)C(F)F
CHEMBL3934522,CC1OCCC1Sc2nc3CCN(CCc3c(Nc4ccc5c(c4)N(C)CCC5(C)C)n2)c6ncccc6C(F)(F)F
CHEMBL2380576,CCOc1ccc2[nH]nc(c3cccc(c3)C(=O)N)c2c1
CHEMBL275812,Cc1cc(Cl)c(OCC(O)CNC(C)(C)C)c(C(=C)n2ccnc2)c1C
CHEMBL3770842,CC(=O)N1N=C(OC1c2ccc(Cl)c(Cl)c2)c3ccc(C)cc3
CHEMBL3975858,CCn1ccc(Nc2ncc3CCc4nn(C)c(c5ccc(cc5)c6cnn(c6)C(C)C)c4c3n2)n1
CHEMBL2346997,Ic1ccc(CN2CCC3(CC2)OCc4ccccc34)cc1
CHEMBL1087546,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCCN6CCCCC6)cc5
CHEMBL1411081,O=C(NCC1CC1)[C@@H]2C[C@H]2[C@@H](NP(=O)(c3ccccc3)c4ccccc4)c5ccccc5
CHEMBL1256505,Cl.CCCCNc1cncc(OC[C@@H]2CCCN2)c1
CHEMBL49322,Cc1ccccc1C(=O)Nc2ccc(cc2)C(=O)N3Cc4sccc4Cc5ccccc35
CHEMBL3806249,CC(C)n1cc(C#N)c2ncnc(N3CCN(CCc4ccccc4)CC3)c12
CHEMBL3652446,CC(C)c1cc(C)nc(n1)N2CC3CN(CC3C2)C(=O)c4ccccc4n5nccn5
CHEMBL1094763,CC(C)(C)c1ccc(OC[C@@H]2CN(C(=O)O2)c3cccc(c3)C#N)cc1
CHEMBL229943,Cc1cnc(Cn2cnc3c(Cl)nc(N)nc23)c(C)c1Br
CHEMBL22665,CN1C2CCC1C(C(C2)c3ccc(F)cc3)C(=O)C
CHEMBL1253899,CC(C)(C[C@@](O)(Cc1cc2cnccc2[nH]1)C(F)(F)F)c3cc(F)ccc3O
CHEMBL3986428,CC(C)C[C@H](NC(=O)c1ccc(N2CC(O)C2)c(OCC3CC3)n1)C(=O)N
CHEMBL354131,Clc1ccc2C(N3CCN(CC3)C(=O)CC4CCN(CC4)C(=O)Oc5ccccc5)c6ncc(Br)cc6CCc2c1
CHEMBL2024126,CNC(=O)c1cccc(c1)C(SCCN)(c2ccccc2)c3ccccc3
CHEMBL247797,CNC(=O)Nc1ccc(CNc2c(cnn2C)C(=O)Nc3ccc(SC(F)(F)F)cc3)cn1
CHEMBL89332,CN1CCCCC1COc2c(c(O)nc3cc(Cl)ccc23)c4cc(C)cc(C)c4
CHEMBL3664842,O=C(CC1COC1)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCOc45)CC2
CHEMBL591102,Cc1nn(C(=O)\C=C\c2ccccc2Cl)c3C[C@@H]4[C@H](c13)C4(C)C
CHEMBL1161914,CNC(=O)c1nc(N2CCCC(N)C2)n(Cc3ccccc3C#N)c1C(=O)NC
CHEMBL3764246,Cc1ccc(cc1)C2CN(CCCSc3nnc(c4ccc(cc4)c5noc(C)n5)n3C)CCO2
CHEMBL260672,OC(=O)CN1C(=O)[C@@]2(CC(=O)N(Cc3cc(Cl)ccc3F)C2=O)c4cc(Cl)ccc14
CHEMBL2418212,Clc1ccccc1c2nc3ccc(nc3s2)N4CCCCC4
CHEMBL1534897,Cc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3cccnc3
CHEMBL304778,CCOC(C(Oc1nc(OC)cc(OC)n1)C(=O)O)(c2ccccc2)c3ccccc3
CHEMBL3674855,COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)c4
CHEMBL3938270,COCCc1nc(c([nH]1)c2cc(ccc2C)C(=O)N3CC(C3)c4ccc(cc4)C#N)C(F)(F)F
CHEMBL3891769,C[C@@H]1N(CCc2c1nnn2c3ncc(F)cn3)C(=O)c4cccc(c4F)C(F)(F)F
CHEMBL3191865,C\C(=N/N1CCN(CC1)c2ccc(Cl)cc2)\c3cccc(c3)[N+](=O)[O-]
CHEMBL3920124,CC(N1C=C(C#N)C(=CC1=O)c2cc(Cl)ccc2C3CC3)C(=O)Nc4ccc(cc4)C(=O)O
CHEMBL248891,COCc1cccc2[nH]c(nc12)c3n[nH]c4ncc(cc34)c5cncc6ccccc56
CHEMBL237266,CC(C)C[C@@H](N)c1cccc(F)c1N2CCN(CC2)C(=O)[C@@H](Cc3ccc(Cl)cc3Cl)NC(=O)C
CHEMBL597984,Cn1nc(C(=O)NC2C[C@@H]3CCC[C@@H](C2)N3Cc4ccccc4)c5ccccc15
CHEMBL1378422,Oc1[nH]c2ccc(F)cc2c1N=Nc3ccccc3
CHEMBL422959,O=Cc1ccn(c1)C2CCN(Cc3ccccc3)CC2
CHEMBL3682865,COc1ccc(nc1c2ccc(Cl)cc2)C(=O)N[C@@H](CC(=O)O)c3ccc(C)cc3
CHEMBL1779596,O[C@H]([C@@H](O)C(=O)N1CCC[C@@H]1c2cccc(Cl)c2)C(=O)NCc3ccc(Cc4cccc(Cl)c4)s3
CHEMBL3299097,COc1ccccc1N2CCN(CCCCCCNC(=O)OC(C)(C)C)CC2
CHEMBL1336044,Clc1ccc(cc1)N2C(=O)C3C4CCCC4=C5CCCC5C3C2=O
CHEMBL2216818,NS(=O)(=O)c1ccc(cc1)N2C(SCC2=O)c3ccccc3
CHEMBL3943015,CCS(=O)(=O)CCn1ccc(Nc2ncc3CCc4nn(C)c(Cc5cccc(c5)c6cnn(C)c6)c4c3n2)n1
CHEMBL3701498,CN1C=Nc2cc(nc(NC3CC3)c2C1=O)c4ccc(nc4)n5cnc(C)c5
CHEMBL1831162,Fc1ccc(cc1)N2CCN(CCCCn3cc(c4ccccc4)c5ccccc35)CC2
CHEMBL396168,CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)N(C)C(=O)c3ccc(C)cc3.OC(=O)C(F)(F)F
CHEMBL3986393,O=C(NCCCCNC(=O)NCCOCCOCCNC(=O)Nc1cccc(O[C@@H]2[C@H](Cc3ccccc23)N4CCCCC4)c1)NCCOCCOCCNC(=O)Nc5cccc(O[C@@H]6[C@H](Cc7ccccc67)N8CCCCC8)c5
CHEMBL1465513,Cc1ccc(cc1)S(=O)(=O)NNC(=O)C(=O)NNS(=O)(=O)c2ccc(C)cc2
CHEMBL2172162,CCOC(=O)N1CCN(CC1)C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OCC(=O)N3CCC[C@H]3c4nc(C)c[nH]4)n(n2)c5ccccc5
CHEMBL1351832,CC(=O)c1ccc(NC(=O)C2(CCOCC2)c3ccccc3)cc1
CHEMBL3827058,COc1ccc(cc1)C2=Cc3cc(OCCCN(C)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4)ccc3OC2=O
CHEMBL1767266,COc1cccc(CC(=O)Nc2sccc2C(=O)N)c1
