instance_id,canonical_smiles
CHEMBL1384221,FC(F)(F)c1cccc(c1)C(=O)c2c[nH]c(c2)C(=O)NCCCN3CCOCC3
CHEMBL3319491,CC(Nc1cc(F)cc(Cl)c1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C(=O)N(C)C
CHEMBL183903,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3C(CCC4CCC(C)(C)N4C)[C@@H]12
CHEMBL3702250,CN(C)CC#CCNC(=O)c1sc2ncnc(Nc3ccc(F)cc3OC(CF)CF)c2c1C
CHEMBL62778,COc1ccc2c(c1)nc(N3CCNCC3)n2Cc4ccccc4
CHEMBL3311487,FC(F)(F)S(=O)(=O)c1cc(ccc1N[C@H](CCN2CCOCC2)CSc3ccccc3)S(=O)(=O)NC(=O)c4ccc(cc4)N5CCC(CC5)Sc6ccccc6c7ccc(Cl)cc7
CHEMBL3317816,CC(C)(C)OC(=O)NCC[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c3csc(CNC(=O)C[C@H](OC1=O)\C=C\CCS)n3
CHEMBL1567320,CCOC(=O)C1(C)N(C(=O)C(=C1N=Nc2ccc(cc2)S(=O)(=O)N)O)c3ccccc3
CHEMBL378187,CC(O)c1cnc(N2CCN([C@H](C)C2)c3nc4c(cc(cc4[nH]3)C(F)(F)F)c5cc(F)c(F)c(F)c5)c(c1)C(F)(F)F
CHEMBL3683439,COc1ccc(C)cc1Oc2ccc(cc2C#N)S(=O)(=O)Nc3ccc(F)cn3
CHEMBL3982707,Cc1onc(C)c1Cn2cc(NC(=O)C3(CC3)c4ccccc4)cn2
CHEMBL388824,CC(C)(C)c1ccc(CNC(=S)NCc2ccc(NS(=O)(=O)C)c(F)c2)cc1
CHEMBL386824,CC(C)[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)C)[C@@H](C)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc3ccccc3)C(=O)O
CHEMBL2356688,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccccc2)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc3C1=O
CHEMBL339806,CCCCNC(=O)c1ccc(Br)c(c1)N2N=C(CC)N(Cc3ccc(cc3F)c4ccccc4S(=O)(=O)NC(=O)OC(C)(C)C)C2=O
CHEMBL1923449,Cc1ccc2sc(cc2c1)S(=O)(=O)N[C@H]3CCCN(CC(=O)N4CCCC4)C3=O
CHEMBL3335407,Ic1ccc(NCc2ccc(CN3CCOCC3)cc2)cc1
CHEMBL3673626,CC(C)n1ncc2cc(NC(=O)c3ccc4cc5C(=O)NC[C@H](C)n5c4n3)cnc12
CHEMBL3125315,[2H]C([2H])([2H])Oc1ccc(cc1)C([2H])([2H])c2cc(ccc2Cl)[C@]3([2H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O
CHEMBL195138,COC(=O)C1C2CCC3CC1\C(=C\c4ccc(cc4)c5cccc(c5)C(F)(F)F)\CN23
CHEMBL3703950,CN(C)[C@H]1CCN(C1)c2cnc3ccc(Sc4nnc5c(F)cc(cn45)c6cnn(C)c6)cc3c2
CHEMBL3682377,CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3C[C@@](C)(CF)Oc4cc(ccc34)C(F)(F)F)cc12
CHEMBL411565,CC(C)C[C@H](NC(=O)[C@@H](Cc1ccc(NC(=O)C)cc1)NC(=O)[C@@H](Cc2ccc(CNC(=O)[C@@H]3CC(=O)NC(=O)N3)cc2)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc4cccnc4)NC(=O)[C@@H](Cc5ccc(Cl)cc5)NC(=O)[C@@H](Cc6ccc7ccccc7c6)NC(=O)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N8CCC[C@H]8C(=O)N[C@H](C)C(=O)N
CHEMBL186773,CCCCN1Cc2ccccc2N(C3CCN(CC3)C4CCC(CC4)C(C)C)S1(=O)=O
CHEMBL1235787,C[C@H](N)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)O
CHEMBL2003274,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1C\C(=C/c5ccncc5)\C2=O
CHEMBL3084767,CC(C)C[C@H]1COCCN1c2oc3cccc(C(=O)N[C@@H]4C[C@H]5CCC[C@@H](C4)N5C)c3n2
CHEMBL1707818,Cc1oc(\C=C\2/S\C(=C(\C#N)/C(=O)c3ccccc3)\N(CC=C)C2=O)cc1
CHEMBL200680,CC(=O)Nc1cc2ncccc2cc1\C=C\C(=O)N3C4CCC3CN(Cc5ccc(F)cc5)C4
CHEMBL1491778,Cl.OCCCCNCc1ccc(OCc2ccccc2Cl)cc1
CHEMBL1445402,CCC1Oc2ccccc2N(CC(=O)NCc3ccc(C)cc3)C1=O
CHEMBL2018467,Fc1ccc(Oc2ccc(NC(=O)[C@H](COCc3ccccc3)NC(=O)Cc4cnc[nH]4)cc2)cc1
CHEMBL342959,NC[C@@H]1O[C@H]([C@H](O)[C@@H]1O)n2nc(Br)c3c(N)ncnc23
CHEMBL2182091,O=C(Nc1ccccc1)c2cccc(Nc3ccc4C(=O)CCCCc4c3)c2
CHEMBL2047988,Cc1onc(NC(=O)Nc2ccc(Oc3ccnc(c3)c4ncc([nH]4)C(F)(F)F)cc2)c1
CHEMBL3642726,CCS(=O)(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nccc4OCCc34)CC1
CHEMBL1498543,COc1ccc(N2C(=Nc3ccc(cc3C2=O)[N+](=O)[O-])CN4CCC(CC4)C(=O)N)c(OC)c1
CHEMBL2315636,OC(=O)C1CCCN(CCC\C=C\c2ccccc2c3ccccc3Cl)C1
CHEMBL4075186,Nc1sc(c2ccc(cc2)C(=O)NCCCCCCCNc3ncnc4c3ncn4[C@@H]5O[C@H](CO)[C@@H](O)[C@H]5O)c(c6cccc(c6)C(F)(F)F)c1C(=O)c7ccccc7
CHEMBL461101,CC1=NN(C(=O)/C/1=N\Nc2cccc(c2O)c3cccc(c3)C(=O)O)c4ccc(C)c(C)c4
CHEMBL1611186,Cn1c(CSc2nc3cc(Br)ccc3[nH]2)nc4ccccc14
CHEMBL4081900,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(C)C)C(=O)NCC(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc5ccccc5)C(=O)NCC(=O)N
CHEMBL364556,[O-][N+](=O)c1ccc(CSc2ncnc3c2ncn3Cc4ccc(F)cc4)cc1
CHEMBL1326044,O=C(CNS(=O)(=O)c1ccccc1)OCC(=O)c2ccc(OC(=O)c3ccccc3)cc2
CHEMBL543383,Cl.Fc1ccc(Cc2ccc(cc2)C3CCN(C\C=C\c4ccccc4)CC3)cc1
CHEMBL1501993,COc1ccc(CNC(=O)C2=CC3=C(N=C4N(C=CC=C4C)C3=O)N(CC5CCCO5)C2=N)cc1
CHEMBL1304837,Cc1onc(C)c1S(=O)(=O)Nc2ccc(cc2)C(=O)N3CCN(CC3)c4ccc(Cl)cc4
CHEMBL370379,Cn1nc(N)c2cc(nnc12)c3c(nn4ccccc34)c5ccccc5
CHEMBL1461638,Cl.COc1ccc(cc1)C2NCc3ccccc3n4cccc24
CHEMBL2019092,COCCN1C(=O)C(=CC2=C1CCCCCC2)C(=O)NC3(CCCCC3)C(=O)O
CHEMBL231962,O=C1NC(=S)S/C/1=C\c2c(SCc3occc3)n(nc2c4ccccc4)C5CCCCC5
CHEMBL3220121,C(COc1ccc(cc1)C2=NC3(CCCCC3)CO2)CN4CCCCC4
CHEMBL102150,CCCCN(CC)C(=O)c1ccc(cc1)[C@@H](N2C[C@@H](C)N(CC=C)C[C@@H]2C)c3cccc(OC)c3
CHEMBL3692005,Cc1cccc(Cl)c1Cn2nc(C)c3ccc(CC(=O)O)cc23
CHEMBL3983231,Fc1ccc(NC2CCC(CC2)c3nnn4cnc5[nH]ccc5c34)cc1
CHEMBL1080286,COc1cccc(CN(C2CC2)C(=O)c3nc4ccc(cc4s3)c5cn[nH]c5)c1
CHEMBL215168,CCCN1CCC(CC1)NC(=O)NC23CC4CC(CC(C4)C2)C3
CHEMBL2113266,NS(=O)(=O)c1ccc(cc1)n2cc(CO[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)nn2
CHEMBL196860,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)\C=C\c3ccc(Cl)cc3NC(=O)N
CHEMBL2204979,CS(=O)(=O)N1CCC(=CC1)c2cc3C[C@@H](Oc3cn2)C4CCN(CC4)c5ncc(cc5F)C(F)(F)F
CHEMBL437364,Cc1oc2ccc(cc2c1)C(\C=C/COc3ccc(OCC(=O)O)c(C)c3)C#Cc4ccc(F)cc4
CHEMBL194632,COc1ccccc1C2CCN(CC2)C(=O)N[C@@H](Cc3cc(Br)c(O)c(Br)c3)C(=O)N[C@H](CCCCN)C(=O)N4CCN(CC4)c5ccncc5
CHEMBL516635,Clc1cccc(c1)n2cc(nn2)c3ccccc3NCc4ccnc5ccccc45
CHEMBL2332792,Cc1cccc(c1)C2CC2NCCO[C@H]3CNC[C@H]3Cc4cc(C)cc(N)n4
CHEMBL1525072,Cc1onc(c1C(=O)OCC(=O)c2c(C)[nH]c3ccccc23)c4c(F)cccc4Cl
CHEMBL3951517,COCCNCc1ccc(cc1)C(=O)Nc2sc(nc2C(=O)N)c3ccncc3
CHEMBL131949,OC(=O)CCCCO\N=C(/c1ccccc1)\c2cncnc2
CHEMBL1341396,CCc1cccc(NC(=O)CN2C(=O)Oc3cc(ccc23)S(=O)(=O)N4CCOCC4)c1
CHEMBL1951291,CN1CCN(Cc2ccc(cc2)c3cc(Cl)c(c(Cl)c3)S(=O)(=O)Nc4c(C)nn(C)c4C)CC1
CHEMBL286161,CCOC(=O)c1ccc(cc1)C(N2CCN(CC=C)CC2)c3ccccc3
CHEMBL576231,Cc1nc2cc(ccc2s1)c3nnn(c3C)c4cccnc4
CHEMBL1390841,Cc1cccc(NC(=O)CCN2CCOCC2)c1
CHEMBL39532,NC(Cc1nc2ccccc2n1CP(=O)(O)O)C(=O)O
CHEMBL3084817,O=C(CN[C@]12C[C@H]3C[C@@H](C1)C[C@](C3)(C2)OC(=O)NC4CCCCC4)N5CCC[C@H]5C#N
CHEMBL3927130,C[C@H](Nc1nc(N)nc(N)c1C#N)C2=Nc3cccc(c3C(=O)N2c4cccnc4)C(F)(F)F
CHEMBL3684926,CC(O)[C@H]1CNC[C@@H](O)[C@@H]1O
CHEMBL3702114,C(N1CCNCC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nc2
